x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database
-0.08927554,18.524748,16263,1.0,I,I-D,9.0,benchmark
11.667959,19.018456,16264,1.0,I,I-E,16.0,benchmark
11.651667,18.986542,16265,1.0,I,I-E,16.0,benchmark
11.697973,18.990582,16266,1.0,I,I-E,17.0,benchmark
-1.0265442,28.950294,16267,1.0,I,I-E,12.0,benchmark
6.0991015,18.32355,16268,1.0,I,I-B,9.0,benchmark
6.098323,11.616091,16269,1.0,I,I-B,7.0,benchmark
5.334523,-4.347199,16270,2.0,II,II-D,1.0,benchmark
2.4074006,21.01706,16271,1.0,I,I-F_T,4.0,flsh
0.21202235,18.71563,16272,1.0,I,I-D,10.0,flsh
0.40492848,19.01388,16273,1.0,I,I-D,10.0,flsh
10.872498,6.9353223,16274,1.0,III,III-B,16.0,flsh
4.0151296,8.659707,16275,2.0,V,V-K,1.0,flsh
17.403025,6.3193808,16276,2.0,VI,VI-B1,1.0,benchmark
-1.538662,4.1103053,16277,2.0,II,II-A,8.0,benchmark
6.241527,-0.85718673,16278,1.0,I,I-E,8.0,benchmark
-1.5325832,4.1274076,16279,2.0,II,II-A,8.0,benchmark
6.240763,-0.85780144,16280,1.0,I,I-E,8.0,benchmark
17.956818,-2.6241238,16281,1.0,I,I-E,12.0,benchmark
2.8181715,17.872875,16282,1.0,I,I-B,10.0,flsh
-4.4999146,14.625941,16283,1.0,I,I-E,12.0,benchmark
26.117392,7.662598,16284,1.0,I,I-E,11.0,benchmark
13.7008095,7.6642227,16285,1.0,III,III-A,21.0,benchmark
13.666408,7.6477594,16286,1.0,III,III-A,21.0,benchmark
2.299425,-0.8932642,16287,1.0,I,I-E,15.0,benchmark
0.014947952,14.461705,16288,1.0,I,I-E,8.0,benchmark
6.3818703,17.843122,16289,1.0,I,I-B,7.0,benchmark
4.9890857,0.09677506,16290,1.0,I,I-E,10.0,benchmark
4.9953856,0.07820467,16291,1.0,I,I-E,8.0,benchmark
5.0054045,0.06192518,16292,1.0,I,I-E,8.0,benchmark
3.0051022,8.925538,16293,2.0,II,II-D,1.0,benchmark
0.49948838,8.769314,16294,2.0,II,II-D,1.0,benchmark
4.013667,8.664509,16295,2.0,V,V-K,1.0,benchmark
0.017630007,18.963055,16296,1.0,I,I-D,8.0,benchmark
13.250779,5.1982102,16297,1.0,III,III-D,11.0,benchmark
2.314286,20.639458,16298,2.0,V,V-K,3.0,benchmark
14.667886,8.465835,16299,1.0,III,III-A,9.0,benchmark
14.629638,8.485683,16300,1.0,III,III-A,9.0,benchmark
17.504692,-10.527934,16301,1.0,I,I-E,12.0,benchmark
17.511003,-10.522186,16302,1.0,I,I-E,12.0,benchmark
17.458323,-10.540819,16303,1.0,I,I-E,12.0,benchmark
17.510637,-10.521754,16304,1.0,I,I-E,12.0,benchmark
17.492096,-10.50785,16305,1.0,I,I-E,12.0,benchmark
17.502747,-10.518707,16306,1.0,I,I-E,12.0,benchmark
17.49663,-10.509518,16307,1.0,I,I-E,12.0,benchmark
17.52615,-10.4807625,16308,1.0,I,I-E,12.0,benchmark
17.492868,-10.525738,16309,1.0,I,I-E,12.0,benchmark
17.49938,-10.507251,16310,1.0,I,I-E,12.0,benchmark
17.516184,-10.439137,16311,1.0,I,I-E,12.0,benchmark
17.515795,-10.440895,16312,1.0,I,I-E,12.0,benchmark
17.453432,-10.479041,16313,1.0,I,I-E,12.0,benchmark
17.541428,-10.560397,16314,1.0,I,I-E,12.0,benchmark
