x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database,category
20.009752,-4.3769403,15941,1.0,III,III-A,9.0,benchmark,III
-15.519327,12.72235,15942,1.0,I,I-E,12.0,benchmark,I
8.112921,5.6210866,15943,1.0,I,I-E,7.0,benchmark,I
9.690906,4.917968,15944,1.0,I,I-E,8.0,benchmark,I
13.3257,1.2668787,15945,1.0,I,I-E,11.0,benchmark,I
13.325831,1.2667359,15946,1.0,I,I-E,11.0,benchmark,I
13.325958,1.2665389,15947,1.0,I,I-E,11.0,benchmark,I
13.325909,1.2666029,15948,1.0,I,I-E,11.0,benchmark,I
13.326158,1.2665726,15949,1.0,I,I-E,11.0,benchmark,I
8.1412325,5.6951756,15950,1.0,I,I-E,6.0,flsh,I
8.137974,5.6942067,15951,1.0,I,I-E,6.0,flsh,I
8.092771,13.940973,15952,2.0,II,II-A,5.0,benchmark,II
12.708418,26.259405,15953,2.0,II,II-A,4.0,benchmark,II
11.970498,-9.015462,15954,1.0,I,I-E,11.0,benchmark,I
11.963876,-9.008801,15955,1.0,I,I-E,11.0,benchmark,I
4.7560134,5.010537,15956,1.0,I,I-E,8.0,benchmark,I
-5.4514227,16.071245,15957,1.0,I,I-B,6.0,benchmark,I
-1.5115426,20.261732,15958,1.0,I,I-B,9.0,benchmark,I
3.6574008,10.635522,15959,1.0,I,I-F,5.0,benchmark,I
4.160342,9.192895,15960,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3.0,flsh,Not-Annotated-By-Cctyper
4.4208155,3.5949357,15961,1.0,I,I-E,8.0,benchmark,I
7.584004,1.3733966,15962,1.0,I,I-F,6.0,benchmark,I
-3.833943,3.9756763,15963,1.0,I,I-E,13.0,benchmark,I
-4.283302,4.180522,15964,1.0,I,I-E,13.0,benchmark,I
-4.5880804,4.0234294,15965,1.0,I,I-E,12.0,benchmark,I
11.716069,2.1045504,15966,2.0,II,II-D,1.0,benchmark,II
9.272959,15.584057,15967,1.0,I,I-C,7.0,flsh,I
13.984018,8.66278,15968,1.0,I,I-F,6.0,benchmark,I
-0.9031457,9.979165,15969,1.0,I,I-C,7.0,benchmark,I
3.3001695,23.534006,15970,1.0,I,I-C,8.0,benchmark,I
3.299388,23.534967,15971,1.0,I,I-C,8.0,benchmark,I
13.326064,1.2664882,15972,1.0,I,I-E,11.0,benchmark,I
3.3001106,23.53419,15973,1.0,I,I-C,8.0,benchmark,I
13.3261795,1.2662245,15974,1.0,I,I-E,11.0,benchmark,I
13.326133,1.2663397,15975,1.0,I,I-E,11.0,benchmark,I
3.300128,23.534248,15976,1.0,I,I-C,8.0,benchmark,I
-13.337663,18.210062,15977,1.0,I,I-E,12.0,benchmark,I
-9.056734,11.987118,15978,1.0,I,I-E,12.0,benchmark,I
0.3406452,16.095465,15979,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5.0,flsh,Not-Annotated-By-Cctyper
0.33883697,16.058071,15980,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,Not-Annotated-By-Cctyper
5.112039,4.0487533,15981,1.0,I,I-E,12.0,flsh,I
-0.04540651,16.857258,15982,1.0,III,III-A,15.0,flsh,III
-0.68582904,15.926887,15983,1.0,I,I-A,16.0,flsh,I
-0.68642354,15.926235,15984,1.0,I,I-A,16.0,flsh,I
-0.4525255,16.41722,15985,1.0,I,I-A,9.0,flsh,I
0.0019658904,16.10792,15986,1.0,I,I-D,10.0,flsh,I
-2.462566,11.778998,15987,1.0,I,I-F,6.0,benchmark,I
0.03376455,10.120241,15988,1.0,I,I-C,8.0,benchmark,I
9.75797,8.946354,15989,1.0,I,I-B,5.0,benchmark,I
11.890478,8.139572,15990,1.0,I,I-B,11.0,benchmark,I
1.8031869,-2.875297,15991,1.0,I,I-E,11.0,benchmark,I
6.928368,4.2476115,15992,1.0,I,I-E,18.0,flsh,I
2.9586318,14.064906,15993,1.0,III,III-D,5.0,flsh,III
6.2366886,3.891484,15994,1.0,I,I-E,8.0,benchmark,I
6.223655,3.8905346,15995,1.0,I,I-E,8.0,benchmark,I
1.3075012,-2.4063346,15996,1.0,I,I-E,11.0,benchmark,I
-3.9100876,2.402288,15997,1.0,I,I-E,12.0,benchmark,I
-2.3304968,3.4311075,15998,1.0,I,I-E,10.0,benchmark,I
-2.5053105,11.666434,15999,1.0,I,I-F,6.0,benchmark,I
8.812236,11.53276,16000,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,27.0,flsh,Not-Annotated-By-Cctyper
7.441254,11.458973,16001,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4.0,flsh,Not-Annotated-By-Cctyper
-3.9103644,2.4016087,16002,1.0,I,I-E,12.0,benchmark,I
1.3259212,-2.4164073,16003,1.0,I,I-E,11.0,benchmark,I
6.5251083,20.52351,16004,2.0,II,II-A,4.0,benchmark,II
6.5341616,20.512114,16005,2.0,II,II-A,4.0,benchmark,II
16.14282,11.388015,16006,1.0,I,I-E,9.0,benchmark,I
6.6064067,19.96973,16007,2.0,II,II-A,6.0,benchmark,II
6.6275487,19.990677,16008,2.0,II,II-A,6.0,benchmark,II
5.9863663,7.527407,16009,1.0,I,I-F,5.0,benchmark,I
4.922942,3.6235776,16010,1.0,I,I-E,9.0,benchmark,I
6.534867,20.49231,16011,2.0,II,II-A,4.0,benchmark,II
9.118199,12.583215,16012,2.0,II,II-D,1.0,benchmark,II
8.7567215,11.706417,16013,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,26.0,flsh,Not-Annotated-By-Cctyper
6.3624315,10.627939,16014,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,17.0,flsh,Not-Annotated-By-Cctyper
5.7738986,10.80726,16015,2.0,II,II-D,1.0,flsh,II
11.566945,8.508563,16016,1.0,I,I-B,9.0,benchmark,I
2.8404984,14.878862,16017,1.0,III,III-C,6.0,benchmark,III
7.7160587,8.221385,16018,1.0,I,I-E,4.0,flsh,I
8.738057,18.535378,16019,2.0,II,II-A,3.0,flsh,II
6.7459736,18.318857,16020,2.0,II,II-A,4.0,flsh,II
8.051186,13.918822,16021,2.0,II,II-A,4.0,flsh,II
8.507703,12.474822,16022,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,21.0,flsh,Not-Annotated-By-Cctyper
5.7157946,4.7435966,16023,1.0,I,I-E,8.0,flsh,I
6.193746,14.330688,16024,1.0,III,III-A,10.0,flsh,III
6.579942,8.502223,16025,1.0,I,I-B,9.0,flsh,I
9.019316,4.7640085,16026,1.0,I,I-E,8.0,benchmark,I
8.438893,7.4892645,16027,1.0,I,I-G,7.0,benchmark,I
2.1153686,12.998831,16028,1.0,III,III-D,15.0,benchmark,III
8.567639,13.468123,16029,2.0,II,II-A,8.0,benchmark,II
-9.670732,23.701784,16030,1.0,I,I-E,9.0,benchmark,I
