x,y,id,crispr_class,crispr_type,crispr_subtype,operon_size,database
11.150256,6.9676523,3196,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5,flsh
6.2939878,6.4616404,3197,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7,flsh
3.131454,8.111374,3198,2,VI,VI-B1,1,flsh
-0.38364005,7.041371,3199,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
3.1648622,-1.9829813,3200,1,I,I-E,8,flsh
3.5993397,8.122945,3201,2,VI,VI-D,3,flsh
8.401183,2.8822846,3202,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4,flsh
8.653704,-0.15051332,3203,1,III,III-B,11,flsh
9.945294,9.260089,3204,1,I,I-B,9,flsh
6.9000683,6.9014816,3205,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,7,flsh
6.1409254,4.982164,3206,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,14,flsh
6.1170855,4.407984,3207,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1,flsh
7.125431,-0.81626296,3208,1,I,I-E,8,flsh
10.001328,5.7427506,3209,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,4,flsh
13.520378,3.9954133,3210,1,I,I-C,7,flsh
8.035052,7.597522,3211,1,I,I-B,4,flsh
13.071717,4.902655,3212,1,I,I-C,11,flsh
9.691901,8.612731,3213,1,I,I-B,9,flsh
7.12228,5.1944757,3214,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
10.03425,8.4517975,3215,1,I,I-B,10,flsh
8.557268,6.9216886,3216,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,3,flsh
5.652997,-0.23944981,3217,1,I,I-E,7,flsh
5.7195,-0.2621132,3218,1,I,I-E,7,flsh
12.919551,7.2881904,3219,2,II,II-A,4,flsh
7.2362976,15.028547,3220,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,2,flsh
8.167857,7.94456,3221,1,I,I-B,3,flsh
7.8478246,14.472025,3222,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,1,flsh
10.749806,4.8741903,3223,1,I,I-C,6,flsh
7.571603,5.200413,3224,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,Not-Annotated-By-Cctyper,5,flsh
